"9/29/23, 3:30 PM                                                      about:blank"
""
""
"Monthly Total Precipitation for Athens Area, GA (ThreadEx)"
""
"Year         Jan     Feb     Mar     Apr     May     Jun     Jul      Aug          Sep     Oct     Nov     Dec     Annual"
"1857         M       M       2.48    3.23    4.17    0.69    M        M            M       M       M       6.96    M"
""
"1858         6.96    4.21    2.35    7.02    3.02    4.76    5.47     2.25         3.74    M       M       M       M"
"1859         4.01    5.17    8.47    5.98    4.21    2.61    1.44     9.41         5.24    M       M       M       M"
"1860         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1861         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1862         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1863         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1864         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1865         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1866         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1867         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1868         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1869         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1870         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1871         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1872         M       M       M       M       M       M       M        M            M       M       2.91    3.65    M"
"1873         3.98    12.06   3.59    1.85    9.80    4.50    5.41     3.71         2.16    0.20    M       M       M"
"1874         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1875         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1876         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1877         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1878         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1879         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1880         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1881         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1882         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1883         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1884         M       M       M       M       0.82    10.46   5.70     2.62         0.01    0.51    3.76    5.97    M"
""
"1885         M       4.86    3.37    1.07    7.22    4.40    5.28     7.05         8.65    4.89    3.71    2.86    M"
"1886         6.47    2.51    9.74    4.59    6.84    9.08    1.97     2.78         0.96    0.01    3.61    4.39    52.95"
"1887         2.51    4.73    2.79    1.11    3.46    4.09    14.47    7.84         1.49    2.39    0.41    5.50    50.79"
"1888         4.53    6.23    6.64    1.40    5.85    1.89    1.79     4.07         10.59   5.09    6.61    4.64    59.33"
""
"1889         5.84    5.68    2.97    2.15    3.16    5.37    2.46     M            4.06    2.10    3.72    0.63    M"
"1890         2.56    2.89    4.32    1.42    9.27    5.44    8.67     5.14         6.97    6.11    0.26    2.60    55.65"
"1891         9.54    6.23    11.53   2.08    2.84    4.85    6.46     3.64         0.94    0.16    4.20    2.57    55.04"
""
"1892         9.57    3.07    5.52    4.45    1.75    4.94    4.89     3.42         2.56    0.60    M       3.55    M"
"1893         1.56    8.55    2.47    2.20    4.05    5.67    2.91     4.25         8.65    0.92    1.39    1.96    44.58"
"1894         4.79    4.64    2.34    1.76    2.06    4.77    4.74     3.55         5.77    4.12    1.61    4.39    44.54"
""
"1895         7.55    M       M       M       M       M       M        7.20         1.25    1.27    2.40    M       M"
"1896         M       M       M       M       1.78    3.93    10.31    1.00         0.66    1.82    M       M       M"
""
"Mean         4.59    4.63    4.98    3.81    3.75    4.22    4.90     4.22         3.46    3.08    3.23    4.31    48.98"
"12.83   12.06   14.15   11.60   11.34   13.25   14.47    18.43        11.84   11.23   14.98   12.37   71.39"
"Max"
"1936    1873    1929    1936    1959    1994    1887     1908         2004    1937    1948    2015    1964"
""
"0.64    0.66    0.99    0.08    0.11    0.69    0.93     0.09         0.01    T       0.23    0.63    28.61"
"Min"
"1981    1898    1905    1915    1914    1857    1947     1951         1884    1963    1910    1889    1954"
""
""
"about:blank                                                                                                                  1/5"
"9/29/23, 3:30 PM                                                      about:blank"
""
"Year         Jan     Feb     Mar     Apr     May     Jun     Jul      Aug          Sep     Oct     Nov     Dec     Annual"
"1897         M       M       M       M       0.61    2.85    3.19     4.17         0.64    3.12    1.10    2.83    M"
""
"1898         2.93    0.66    3.55    5.58    2.48    1.53    5.43     5.73         6.36    7.40    M       3.81    M"
"1899         7.21    8.56    M       1.98    0.83    1.55    M        3.93         1.45    3.59    1.35    2.78    M"
"1900         2.10    M       6.54    7.76    2.97    11.39   4.13     1.27         3.89    4.80    3.74    5.68    M"
"1901         4.14    3.57    4.78    5.59    4.90    6.53    3.51     17.87        3.30    1.05    0.77    5.42    61.43"
""
"1902         2.70    M       6.06    1.73    0.86    3.38    3.25     3.56         4.82    1.55    2.72    M       M"
"1903         3.11    10.69   9.33    2.62    2.78    4.12    1.84     6.47         4.98    2.05    1.76    1.84    51.59"
"1904         2.92    5.15    3.10    1.69    1.76    2.93    2.55     5.37         1.05    0.99    2.58    4.44    34.53"
""
